study,bullet_dir,filename,bullet_code
Hamby Set 36,Barrel 1/Bullet 1,HS36 - Barrel 1 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.1.1
Hamby Set 36,Barrel 1/Bullet 2,HS36 - Barrel 1 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.1.2
Hamby Set 36,Barrel 2/Bullet 1,HS36 - Barrel 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.2.1
Hamby Set 36,Barrel 2/Bullet 2,HS36 - Barrel 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.2.2
Hamby Set 36,Barrel 3/Bullet 1,HS36 - Barrel 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.3.1
Hamby Set 36,Barrel 3/Bullet 2,HS36 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.3.2
Hamby Set 36,Barrel 4/Bullet 1,HS36 - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.4.1
Hamby Set 36,Barrel 4/Bullet 2,HS36 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.4.2
Hamby Set 36,Barrel 5/Bullet 1,HS36 - Barrel 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.5.1
Hamby Set 36,Barrel 5/Bullet 2,HS36 - Barrel 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.5.2
Hamby Set 36,Barrel 6/Bullet 1,HS36 - Barrel 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.6.1
Hamby Set 36,Barrel 6/Bullet 2,HS36 - Barrel 6 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.6.2
Hamby Set 36,Barrel 7/Bullet 1,HS36 - Barrel 7 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.7.1
Hamby Set 36,Barrel 7/Bullet 2,HS36 - Barrel 7 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.7.2
Hamby Set 36,Bullet 10/Bullet 1,HS36 - Barrel 10 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.10.1
Hamby Set 36,Bullet 10/Bullet 2,HS36 - Barrel 10 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.10.2
Hamby Set 36,Bullet 8/Bullet 1,HS36 - Barrel 8 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.8.1
Hamby Set 36,Bullet 8/Bullet 2,HS36 - Barrel 8 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.8.2
Hamby Set 36,Bullet 9/Bullet 1,HS36 - Barrel 9 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.9.1
Hamby Set 36,Bullet 9/Bullet 2,HS36 - Barrel 9 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.9.2
Hamby Set 36,Unknown/Bullet A,HS36 - Unknown - Bullet A - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.A
Hamby Set 36,Unknown/Bullet D,HS36 - Unknown - Bullet D - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.D
Hamby Set 36,Unknown/Bullet E,HS36 - Unknown - Bullet E - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.E
Hamby Set 36,Unknown/Bullet G,HS36 - Unknown - Bullet G - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.G
Hamby Set 36,Unknown/Bullet I,HS36 - Unknown - Bullet I - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.I
Hamby Set 36,Unknown/Bullet M,HS36 - Unknown - Bullet M - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.M
Hamby Set 36,Unknown/Bullet O,HS36 - Unknown - Bullet O - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.O
Hamby Set 36,Unknown/Bullet Q,HS36 - Unknown - Bullet Q - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.Q
Hamby Set 36,Unknown/Bullet S,HS36 - Unknown - Bullet S - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,hmb36.U.S
Hamby Set 36,Unknown/Bullet T,HS36 - Unknown - Bullet T - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.U.T
Hamby Set 36,Unknown/Bullet U,HS36 - Unknown - Bullet U - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb36.U.U
Hamby Set 36,Unknown/Bullet V,HS36 - Unknown - Bullet V - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.U.V
Hamby Set 36,Unknown/Bullet W,HS36 - Unknown - Bullet W - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.U.W
Hamby Set 36,Unknown/Bullet X,HS36 - Unknown - Bullet X - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.U.X
Hamby Set 36,Unknown/Bullet Z,HS36 - Unknown - Bullet Z - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb36.U.Z
