"study","barrel","bullet","land","bullet_dir","filename"
"Houston NIJ","10","A","Land","10/A/Land","Houston NIJ- 10- Bullet A - Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","10","B","Land","10/B/Land","Houston NIJ- 10- Bullet B- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","10","C","Land","10/C/Land","Houston NIJ- 10- Bullet C- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","10","D","Land","10/D/Land","Houston NIJ- 10- Bullet D- Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","11","A","Land","11/A/Land","Houston NIJ- 11- Bullet A - Land 1 - Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","11","B","Land","11/B/Land","Houston NIJ- 11- Bullet B- Land 1- Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","11","C","Land","11/C/Land","Houston NIJ- 11- Bullet C- Land 1- Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","11","D","Land","11/D/Land","Houston NIJ- 11- Bullet D- Land 1- Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","12","A","Land","12/A/Land","Houston NIJ- 12- Bullet A - Land 1- Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","12","B","Land","12/B/Land","Houston NIJ- 12- Bullet B- Land 1- Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","12","C","Land","12/C/Land","Houston NIJ- 12- Bullet C- Land 1- Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
"Houston NIJ","12","D","Land","12/D/Land","Houston NIJ- 12- Bullet D- Land 1- Sneox1 - 20x - multilevel autolight +20 perc. - threshold 2 - resolution 4 -Megan McGuire.x3p"
