"landA","landB","ccf"
"1","1",0.422384814738036
"2","1",0.31812064937895
"3","1",0.97489712574109
"4","1",0.298123018438399
"5","1",0.247917182602375
"6","1",0.370136507931717
"1","2",0.385674591417041
"2","2",0.34238436794617
"3","2",0.213795453373094
"4","2",0.845611161814628
"5","2",0.319108392797609
"6","2",0.495420298842882
"1","3",0.395591848215511
"2","3",0.494627091059854
"3","3",0.278357976871099
"4","3",0.343420208431355
"5","3",0.83115311510742
"6","3",0.291694441240728
"1","4",0.432193941991358
"2","4",0.52675995610213
"3","4",0.46614874134581
"4","4",0.396653989177411
"5","4",0.306915250124646
"6","4",0.885267152466345
"1","5",0.702466598442194
"2","5",0.313200741486911
"3","5",0.320424068047922
"4","5",0.348418734741689
"5","5",0.462140614790709
"6","5",0.315875171301199
"1","6",0.445800697933256
"2","6",0.952882678388825
"3","6",0.312200409301368
"4","6",0.533701229345138
"5","6",0.454328735082123
"6","6",0.561582267668737
