"bulletA","bulletB","land1","land2","ccf0","landA","landB","ccf","cms","cms_per_mm","cms2","cms2_per_mm","D","lag","lag_mm","left_cms","length","length_mm","matches","matches_per_mm","mismatches","mismatches_per_mm","non_cms","non_cms_per_mm","overlap","right_cms","rough_cor","sd_D","sum_peaks","rfscore","samesource","bullet_score"
"Bullet 1","Bullet 2","Bullet 1-1","Bullet 2-1",0.422384814738036,"1","1",0.422384814738036,0.592592592592593,0.592592592592593,0,0,0.179592599973754,-31,-0.2421875,1,216,1.6875,0.592592592592593,0.592592592592593,2.37037037037037,2.37037037037037,2.37037037037037,2.37037037037037,0.856481481481482,0,0.00148683229860964,3.30143739353694,2.4029299155333,0.13,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-2","Bullet 2-1",0.31812064937895,"2","1",0.31812064937895,0.618357487922705,0.618357487922705,0,0,0.160574101348603,0,0,0,207,1.6171875,0.618357487922705,0.618357487922705,1.85507246376812,1.85507246376812,1.23671497584541,1.23671497584541,1,0,-0.0891749846332599,3.6824478841256,2.55149266417316,0.0766666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-3","Bullet 2-1",0.97489712574109,"3","1",0.97489712574109,1.81990521327014,1.81990521327014,1,0.606635071090047,0.0346737743417269,-3,-0.0234375,3,211,1.6484375,1.81990521327014,1.81990521327014,0.606635071090047,0.606635071090047,0.606635071090047,0.606635071090047,1,0,0.953335027136868,4.29163931760676,9.85004342682759,0.796666666666667,TRUE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-4","Bullet 2-1",0.298123018438399,"4","1",0.298123018438399,0.598130841121495,0.598130841121495,0,0,0.194733616398973,-34,-0.265625,1,214,1.671875,0.598130841121495,0.598130841121495,1.79439252336449,1.79439252336449,1.79439252336449,1.79439252336449,0.850467289719626,0,-0.178111569014514,3.38960741097921,2.35078227534203,0.06,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-5","Bullet 2-1",0.247917182602375,"5","1",0.247917182602375,0.595348837209302,0.595348837209302,0,0,0.194025125297812,31,0.2421875,0,215,1.6796875,0.595348837209302,0.595348837209302,3.57209302325581,3.57209302325581,2.97674418604651,2.97674418604651,0.855813953488372,0,-0.34696649350635,2.93047808970181,1.98909032858401,0.0866666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-6","Bullet 2-1",0.370136507931717,"6","1",0.370136507931717,0,0,0,0,0.247072311291365,-51,-0.3984375,0,216,1.6875,0,0,2.96296296296296,2.96296296296296,2.96296296296296,2.96296296296296,0.763888888888889,0,-0.346193648429598,4.08359739559736,0,0.126666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-1","Bullet 2-2",0.385674591417041,"1","2",0.385674591417041,2.97674418604651,2.97674418604651,2,1.1906976744186,0.088362748516757,-2,-0.015625,5,215,1.6796875,2.97674418604651,2.97674418604651,0,0,0,0,0.990697674418605,5,0.115651244690646,2.26000109504899,8.02323497038616,0.28,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-2","Bullet 2-2",0.34238436794617,"2","2",0.34238436794617,1.23671497584541,1.23671497584541,1,0.618357487922705,0.120101916336729,-22,-0.171875,0,207,1.6171875,1.23671497584541,1.23671497584541,1.85507246376812,1.85507246376812,1.23671497584541,1.23671497584541,0.932367149758454,0,-0.0506004724154317,2.64101158563765,3.08342610991304,0.126666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-3","Bullet 2-2",0.213795453373094,"3","2",0.213795453373094,0.606635071090047,0.606635071090047,0,0,0.193738159649315,31,0.2421875,1,211,1.6484375,0.606635071090047,0.606635071090047,1.21327014218009,1.21327014218009,1.21327014218009,1.21327014218009,0.853080568720379,0,-0.19424444928191,3.25020301911881,2.74132088982306,0.0433333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-4","Bullet 2-2",0.845611161814628,"4","2",0.845611161814628,2.99065420560748,2.99065420560748,2,1.19626168224299,0.0447813530720893,-1,-0.0078125,5,214,1.671875,2.99065420560748,2.99065420560748,0,0,0,0,1,5,0.778058899212155,2.34817111249126,8.94008801016219,0.846666666666667,TRUE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-5","Bullet 2-2",0.319108392797609,"5","2",0.319108392797609,0.595348837209302,0.595348837209302,0,0,0.0824306543805966,6,0.046875,0,215,1.6796875,0.595348837209302,0.595348837209302,1.78604651162791,1.78604651162791,1.1906976744186,1.1906976744186,0.972093023255814,0,0.100478823261308,1.88904179121386,1.18600702617356,0.12,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-6","Bullet 2-2",0.495420298842882,"6","2",0.495420298842882,1.1906976744186,1.1906976744186,1,0.595348837209302,0.160447315087127,-42,-0.328125,0,215,1.6796875,1.1906976744186,1.1906976744186,2.38139534883721,2.38139534883721,1.1906976744186,1.1906976744186,0.804651162790698,0,-0.259390452504276,3.04216109710941,5.08251760220042,0.113333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-1","Bullet 2-3",0.395591848215511,"1","3",0.395591848215511,0.60377358490566,0.60377358490566,0,0,0.102906540161545,63,0.4921875,0,212,1.65625,0.60377358490566,0.60377358490566,2.41509433962264,2.41509433962264,1.81132075471698,1.81132075471698,0.75,0,-0.0281823009991564,1.83595523961845,1.27677150400311,0.173333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-2","Bullet 2-3",0.494627091059854,"2","3",0.494627091059854,1.23671497584541,1.23671497584541,1,0.618357487922705,0.105717166441685,-21,-0.1640625,2,207,1.6171875,1.23671497584541,1.23671497584541,1.23671497584541,1.23671497584541,1.23671497584541,1.23671497584541,0.922705314009662,0,0.0730484616761741,2.2169657302071,2.75390676558422,0.21,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-3","Bullet 2-3",0.278357976871099,"3","3",0.278357976871099,1.21327014218009,1.21327014218009,1,0.606635071090047,0.173114528169653,-25,-0.1953125,0,211,1.6484375,1.21327014218009,1.21327014218009,2.42654028436019,2.42654028436019,1.81990521327014,1.81990521327014,0.886255924170616,0,-0.295415125717296,2.82615716368827,4.0413798869646,0.0666666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-4","Bullet 2-3",0.343420208431355,"4","3",0.343420208431355,0.60377358490566,0.60377358490566,1,0.60377358490566,0.080095741977843,2,0.015625,0,212,1.65625,0.60377358490566,0.60377358490566,1.20754716981132,1.20754716981132,0.60377358490566,0.60377358490566,1,0,0.117979403949988,1.92412525706071,1.57884786887428,0.22,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-5","Bullet 2-3",0.83115311510742,"5","3",0.83115311510742,1.20754716981132,1.20754716981132,1,0.60377358490566,0.0306974639123613,8,0.0625,2,212,1.65625,1.20754716981132,1.20754716981132,1.20754716981132,1.20754716981132,1.20754716981132,1.20754716981132,0.976415094339623,0,0.779642688082958,1.46499593578332,2.26206765519623,0.706666666666667,TRUE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-6","Bullet 2-3",0.291694441240728,"6","3",0.291694441240728,0.60377358490566,0.60377358490566,1,0.60377358490566,0.15212828710582,38,0.296875,0,212,1.65625,0.60377358490566,0.60377358490566,1.20754716981132,1.20754716981132,0.60377358490566,0.60377358490566,0.877358490566038,0,-0.394460087154549,2.61811524167887,3.55230741574285,0.133333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-1","Bullet 2-4",0.432193941991358,"1","4",0.432193941991358,2.31674208144796,2.31674208144796,2,1.15837104072398,0.120246618179723,-19,-0.1484375,0,221,1.7265625,2.31674208144796,2.31674208144796,0.579185520361991,0.579185520361991,0.579185520361991,0.579185520361991,0.914027149321267,4,-0.0429639683166631,2.72855704023608,7.2172278845709,0.226666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-2","Bullet 2-4",0.52675995610213,"2","4",0.52675995610213,3.09178743961353,3.09178743961353,3,1.85507246376812,0.129165243871266,18,0.140625,5,207,1.6171875,3.09178743961353,3.09178743961353,0.618357487922705,0.618357487922705,0.618357487922705,0.618357487922705,0.91304347826087,0,0.0214465039705319,3.10956753082473,10.6471664546466,0.516666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-3","Bullet 2-4",0.46614874134581,"3","4",0.46614874134581,0,0,0,0,0.206769119634719,48,0.375,0,211,1.6484375,0,0,2.42654028436019,2.42654028436019,2.42654028436019,2.42654028436019,0.772511848341232,0,-0.145745683149217,3.7187589643059,0,0.186666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-4","Bullet 2-4",0.396653989177411,"4","4",0.396653989177411,1.79439252336449,1.79439252336449,2,1.19626168224299,0.14779448141084,44,0.34375,0,214,1.671875,1.79439252336449,1.79439252336449,1.79439252336449,1.79439252336449,1.19626168224299,1.19626168224299,0.794392523364486,0,-0.0905693468963393,2.81672705767834,7.40084241082824,0.0766666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-5","Bullet 2-4",0.306915250124646,"5","4",0.306915250124646,0,0,0,0,0.142292241618548,-36,-0.28125,0,215,1.6796875,0,0,2.97674418604651,2.97674418604651,2.97674418604651,2.97674418604651,0.86046511627907,0,-0.266992137772002,2.35759773640095,0,0.126666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-6","Bullet 2-4",0.885267152466345,"6","4",0.885267152466345,2.89592760180995,2.89592760180995,2,1.15837104072398,0.0594212602281148,1,0.0078125,0,221,1.7265625,2.89592760180995,2.89592760180995,0.579185520361991,0.579185520361991,0.579185520361991,0.579185520361991,1,5,0.683955341057501,3.5107170422965,12.0468461706206,0.823333333333333,TRUE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-1","Bullet 2-5",0.702466598442194,"1","5",0.702466598442194,1.20754716981132,1.20754716981132,2,1.20754716981132,0.0647570951189985,2,0.015625,2,212,1.65625,2.41509433962264,2.41509433962264,0.60377358490566,0.60377358490566,0.60377358490566,0.60377358490566,1,2,0.587558631526201,2.35325164694145,6.4061728743531,0.626666666666667,TRUE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-2","Bullet 2-5",0.313200741486911,"2","5",0.313200741486911,1.85507246376812,1.85507246376812,2,1.23671497584541,0.156003935246282,40,0.3125,0,207,1.6171875,2.47342995169082,2.47342995169082,2.47342995169082,2.47342995169082,1.23671497584541,1.23671497584541,0.806763285024155,0,-0.0514233919202733,2.7342621375301,7.59289953870872,0.0733333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-3","Bullet 2-5",0.320424068047922,"3","5",0.320424068047922,0.606635071090047,0.606635071090047,0,0,0.182403709648572,30,0.234375,1,211,1.6484375,0.606635071090047,0.606635071090047,4.24644549763033,4.24644549763033,4.24644549763033,4.24644549763033,0.85781990521327,0,-0.0521788728797442,3.34345357101127,1.67204256316039,0.173333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-4","Bullet 2-5",0.348418734741689,"4","5",0.348418734741689,0.60377358490566,0.60377358490566,0,0,0.101106407382105,-6,-0.046875,1,212,1.65625,0.60377358490566,0.60377358490566,0.60377358490566,0.60377358490566,0.60377358490566,0.60377358490566,0.971698113207547,0,0.157186925354491,2.44142166438371,1.23454707759727,0.223333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-5","Bullet 2-5",0.462140614790709,"5","5",0.462140614790709,0.60377358490566,0.60377358490566,0,0,0.101520964921246,-53,-0.4140625,0,212,1.65625,0.60377358490566,0.60377358490566,4.83018867924528,4.83018867924528,3.0188679245283,3.0188679245283,0.75,0,0.17529559727799,1.98229234310632,1.13549935848782,0.313333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-6","Bullet 2-5",0.315875171301199,"6","5",0.315875171301199,1.20754716981132,1.20754716981132,2,1.20754716981132,0.147518401406445,25,0.1953125,2,212,1.65625,2.41509433962264,2.41509433962264,1.20754716981132,1.20754716981132,1.20754716981132,1.20754716981132,0.938679245283019,2,-0.234610095825076,3.13541164900187,8.20483095064459,0.0733333333333333,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-1","Bullet 2-6",0.445800697933256,"1","6",0.445800697933256,0.576576576576577,0.576576576576577,0,0,0.13693171982523,-56,-0.4375,0,222,1.734375,0.576576576576577,0.576576576576577,1.72972972972973,1.72972972972973,1.15315315315315,1.15315315315315,0.752252252252252,0,0.0572133653584143,2.55100170017077,1.69587141120955,0.17,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-2","Bullet 2-6",0.952882678388825,"2","6",0.952882678388825,3.09178743961353,3.09178743961353,3,1.85507246376812,0.0341897496665731,-17,-0.1328125,5,207,1.6171875,3.09178743961353,3.09178743961353,0,0,0,0,0.995169082125604,5,0.910270036075616,2.93201219075942,9.72635187436991,0.886666666666667,TRUE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-3","Bullet 2-6",0.312200409301368,"3","6",0.312200409301368,0,0,0,0,0.221948258321351,-56,-0.4375,0,211,1.6484375,0,0,4.24644549763033,4.24644549763033,4.24644549763033,4.24644549763033,0.791469194312796,0,-0.0885173843426971,3.54120362424059,0,0.186666666666667,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-4","Bullet 2-6",0.533701229345138,"4","6",0.533701229345138,2.39252336448598,2.39252336448598,2,1.19626168224299,0.124366589516761,-48,-0.375,0,214,1.671875,2.39252336448598,2.39252336448598,1.19626168224299,1.19626168224299,0.598130841121495,0.598130841121495,0.817757009345794,0,0.195238578473269,2.63917171761303,7.94428308909528,0.28,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-5","Bullet 2-6",0.454328735082123,"5","6",0.454328735082123,0.595348837209302,0.595348837209302,1,0.595348837209302,0.101554203641509,13,0.1015625,0,215,1.6796875,0.595348837209302,0.595348837209302,1.78604651162791,1.78604651162791,1.1906976744186,1.1906976744186,0.93953488372093,0,0.0442790006510494,2.18004239633564,2.30042298542286,0.17,FALSE,0.781111111111111
"Bullet 1","Bullet 2","Bullet 1-6","Bullet 2-6",0.561582267668737,"6","6",0.561582267668737,2.29596412556054,2.29596412556054,2,1.14798206278027,0.140229027855417,-32,-0.25,0,223,1.7421875,2.29596412556054,2.29596412556054,1.14798206278027,1.14798206278027,0.573991031390135,0.573991031390135,0.856502242152466,0,-0.0549964038448042,3.33316170223119,9.19852239538927,0.34,FALSE,0.781111111111111
